id,cost,movie,movie_genre,time,date,campaing
444,9.71,Old School,Comedy,12:44 PM,12/05/2019,TwAds
684,7.47,Knucklehead,Comedy|Drama,1:23 AM,02/05/2019,Amazon
789,10.05,Pentimento,Drama,9:15 AM,01/09/2019,FbAds-fb
1,12.22,Secrets of a Soul (Geheimnisse einer Seele),Drama,2:08 AM,05/23/2019,FbAds-fb
666,8.61,Eu Não Quero Voltar Sozinho (I Don't Want to Go Back Alone),Drama|Romance,12:40 PM,10/25/2019,FbAds-fb
884,7.13,"Call of the Wild, The",Action|Adventure|Drama|Romance|Western,9:12 PM,04/18/2019,TwAds
88,11.77,The Lego Movie,Action|Adventure|Animation|Children|Comedy|Fantasy,6:06 AM,08/16/2019,FbAds-in
635,8.96,Bugsy Malone,Children|Comedy|Crime|Musical,6:43 AM,09/07/2019,TwAds
50,3.8,Chunhyang,Drama|Musical|Romance,3:58 AM,01/24/2019,Amazon
906,7.24,Juliet of the Spirits (Giulietta degli spiriti),Comedy|Drama|Fantasy|Romance,10:39 AM,05/15/2019,FbAds-fb
69,3.41,Highly Dangerous,Action|Thriller,5:08 AM,01/18/2019,Amazon
199,8.04,"Pleasure Party (Partie de plaisir, Une) (Piece of Pleasure, A)",Drama,12:15 PM,12/01/2019,TwAds
799,1.6,Never Ever! (Nigdy w zyciu!),Comedy|Romance,6:48 AM,02/07/2019,FbAds-in
812,9.06,Doom,Action|Horror|Sci-Fi,9:12 AM,08/23/2019,TwAds
102,11.59,For Roseanna (Roseanna's Grave),Comedy|Drama|Romance,7:59 PM,08/30/2019,TwAds
446,11.11,"Yoo-Hoo, Mrs. Goldberg",Documentary,6:16 AM,08/12/2019,Amazon
949,5.34,"New Guy, The",Comedy,8:06 AM,08/27/2019,FbAds-in
504,8.99,Horrible Bosses 2,Comedy|Crime,6:45 PM,09/22/2019,FbAds-fb
107,6.43,"Grand, The",Comedy,2:31 PM,06/16/2019,TwAds
683,1.59,First Strike (Police Story 4: First Strike) (Ging chaat goo si 4: Ji gaan daan yam mo),Action|Adventure|Comedy|Thriller,7:36 PM,04/11/2019,FbAds-in
129,11.49,The Dot and the Line : A Romance in Lower Mathematics,Animation|Children|Comedy,6:18 AM,08/19/2019,Amazon
772,6.8,Permanent Midnight,Drama,1:00 AM,07/11/2019,Amazon
13,12.15,"Collection, The",Action|Horror|Thriller,2:29 AM,01/05/2019,FbAds-fb
278,9.23,Never Say Never Again,Action|Adventure|Thriller,7:44 AM,08/23/2019,Amazon
28,1.63,Manborg,Action|Adventure|Comedy,4:47 AM,01/27/2019,TwAds
181,3.54,Killer (Bulletproof Heart),Drama|Thriller,8:38 AM,10/23/2019,TwAds
320,13.6,Bless the Child,Thriller,2:39 PM,05/28/2019,Amazon
38,11.9,"Starfighters, The",Drama,4:25 AM,02/24/2019,TwAds
341,8.93,SIS,Action|Crime|Drama|Thriller,2:25 AM,04/07/2019,TwAds
76,13.95,Broken Flowers,Comedy|Drama,2:54 PM,04/06/2019,FbAds-in
1000,13.93,Camille Claudel 1915,Drama,11:41 PM,12/10/2019,FbAds-in
616,10.98,Minority Report,Action|Crime|Mystery|Sci-Fi|Thriller,2:28 AM,11/23/2019,TwAds
682,9.12,Meet the Robinsons,Action|Adventure|Animation|Children|Comedy|Sci-Fi,8:40 AM,04/22/2019,FbAds-in
203,6.81,Dangerous Liaisons,Comedy|Crime|Drama|Mystery,5:14 PM,08/23/2019,TwAds
171,7.71,Mother Knows Best,Crime|Thriller,10:20 AM,07/06/2019,Amazon
619,14.98,Chaos,Crime|Drama|Horror,3:09 AM,07/06/2019,Amazon
23,10.33,Yellowbeard,Action|Adventure|Comedy,6:36 PM,06/24/2019,Amazon
214,2.9,Hostile Intentions,Action|Drama|Thriller,5:47 AM,08/10/2019,GAds
611,8.8,Vendetta,Action|Crime,11:30 AM,02/04/2019,GAds
737,14.64,Any Number Can Win (Mélodie en sous-sol ),Crime,11:03 PM,07/01/2019,FbAds-in
256,3.54,Everything I Can See From Here,Adventure|Animation|Drama|Sci-Fi,9:02 PM,12/09/2019,TwAds
776,7.44,Flock of Dodos: The Evolution-Intelligent Design Circus,Documentary,2:32 AM,11/23/2019,FbAds-in
731,13.78,"Unknown Woman, The (La Sconosciuta)",Drama|Mystery|Thriller,6:56 AM,11/07/2019,FbAds-in
337,8.11,"Hurricane Express, The",Adventure|Crime|Drama,6:53 AM,03/05/2019,Amazon
265,10.2,Seduced and Abandoned (Sedotta e abbandonata),Comedy|Drama,10:22 AM,07/05/2019,Amazon
304,7.31,Napoléon,Drama|War,3:16 PM,01/27/2019,GAds
942,14.22,Gimme Shelter,Documentary,6:16 PM,11/20/2019,FbAds-fb
758,14.83,Ollie Hopnoodle's Haven of Bliss,Children|Comedy,9:25 PM,06/05/2019,TwAds
70,5.24,Our Daily Bread (Unser täglich Brot),Documentary,12:10 PM,04/14/2019,FbAds-in
200,11.38,Pride of the Marines,Drama|War,11:49 PM,07/31/2019,GAds
501,14.62,Kamchatka,Drama,10:05 PM,07/11/2019,GAds
69,4.43,Personal Velocity,Drama,3:37 AM,01/20/2019,FbAds-fb
816,1.07,Ladies in Retirement,Drama,3:42 PM,05/17/2019,FbAds-in
269,1.28,Children of Men,Action|Adventure|Drama|Sci-Fi|Thriller,11:18 AM,04/11/2019,Amazon
702,4.8,In Bed (En la cama),Drama,11:34 AM,11/10/2019,FbAds-fb
194,13.42,"Living Sea, The",Documentary|IMAX,5:50 AM,01/25/2019,Amazon
68,5.1,Orphans,Comedy|Drama,3:57 AM,01/25/2019,FbAds-fb
455,3.62,Mission: Impossible,Action|Adventure|Mystery|Thriller,3:57 AM,03/11/2019,Amazon
342,11.07,"Queen, The",Drama,11:11 AM,01/13/2019,FbAds-in
642,2.54,One of Our Aircraft Is Missing,Action|Drama|War,12:21 AM,06/21/2019,GAds
455,11.43,"Sweet Hereafter, The",Drama,2:26 AM,09/22/2019,FbAds-fb
68,7.26,Silent Action,Action|Crime|Drama,11:44 AM,08/16/2019,GAds
795,5.93,Police Story (Ging chaat goo si),Action|Comedy|Crime|Thriller,12:11 AM,08/10/2019,GAds
396,12.6,F for Fake (Vérités et mensonges),Documentary|Mystery,6:21 PM,11/23/2019,FbAds-in
115,7.58,Coco Before Chanel (Coco avant Chanel),Drama,3:07 PM,07/17/2019,FbAds-in
467,6.54,Sexual Chronicles of a French Family (Chroniques sexuelles d'une famille d'aujourd'hui),Comedy|Drama,6:39 PM,10/13/2019,GAds
840,11.84,Amandla! A Revolution in Four Part Harmony,Documentary|Musical,9:01 AM,06/02/2019,FbAds-in
593,13.97,Only the Strong,Action,6:14 PM,07/18/2019,FbAds-in
226,11.26,Newsies,Children|Musical,7:33 AM,10/18/2019,TwAds
391,12.27,"Redes (Fishermen's Nets) (Wave, The)",Drama,9:19 PM,11/11/2019,FbAds-fb
962,6.01,Bebe's Kids,Animation|Children|Comedy,3:58 PM,01/19/2019,TwAds
900,3.29,Battle Royale 2: Requiem (Batoru rowaiaru II: Chinkonka),Action|Drama|Thriller|War,4:19 PM,05/01/2019,FbAds-in
322,7.89,That Night's Wife,Drama,11:34 AM,08/27/2019,FbAds-in
964,3.15,Moulin Rouge,Drama|Musical|Romance,2:13 PM,11/15/2019,Amazon
697,3.59,Pirates of the Caribbean: On Stranger Tides,Action|Adventure|Fantasy|IMAX,7:40 PM,12/07/2019,GAds
537,14.18,Nas: Time Is Illmatic,Documentary,5:53 PM,04/21/2019,FbAds-fb
502,3.59,Man of Marble (Czlowiek z Marmuru),Drama,12:04 AM,04/27/2019,TwAds
893,10.17,Forever Strong,Drama,7:05 PM,04/19/2019,FbAds-fb
726,10.63,"Importance of Being Earnest, The",Comedy|Drama|Romance,5:23 PM,11/16/2019,TwAds
515,1.17,Shock Waves,Horror,11:33 AM,05/17/2019,TwAds
923,1.43,Imitation of Life,Drama|Romance,3:17 AM,04/13/2019,Amazon
773,5.38,"Bridge Too Far, A",Action|Drama|War,8:39 PM,02/27/2019,FbAds-in
612,10.83,Carmen Miranda: Bananas Is My Business,Documentary,7:30 PM,02/20/2019,FbAds-in
239,14.78,"Monkey's Teeth (Dents du singe, Les)",Animation,12:49 AM,08/19/2019,GAds
286,6.17,Rage of Angels: The Story Continues,Drama,9:04 AM,12/28/2019,FbAds-fb
451,11.79,"Man Who Cried, The",Drama,2:03 AM,07/22/2019,TwAds
649,10.31,Marriage Retreat,Comedy|Drama,5:29 PM,12/02/2019,FbAds-in
160,6.95,Will Penny,Romance|Western,1:28 AM,04/20/2019,FbAds-in
888,12.35,Charlie Chan in Paris,Comedy|Crime|Drama|Mystery|Thriller,4:25 PM,11/18/2019,FbAds-in
454,5.87,Boundin',Animation|Children,11:58 AM,11/07/2019,TwAds
834,1.73,Witness,Drama|Romance|Thriller,7:42 PM,07/05/2019,GAds
111,3.91,Lulu in Berlin,Documentary,6:42 AM,09/15/2019,TwAds
879,1.3,Crazy in Alabama,Comedy|Drama,10:40 AM,01/11/2019,Amazon
702,12.27,Root of All Evil?,Documentary,4:17 PM,10/13/2019,Amazon
153,12.05,800 Bullets (800 Balas),Comedy|Crime|Drama|Western,10:09 AM,01/20/2019,Amazon
973,9.78,Shanghai Kiss,Comedy|Drama|Romance,5:03 PM,10/20/2019,GAds
761,8.81,Eye In The Sky (Gun chung),Crime|Thriller,1:00 AM,08/31/2019,TwAds
659,1.25,Stormheart,Children|Drama,12:40 AM,12/28/2019,TwAds
143,10.8,"Lord of the Rings: The Fellowship of the Ring, The",Adventure|Fantasy,8:41 AM,01/10/2019,GAds
526,7.18,Forbidden City Cop (Dai lap mat tam 008),Action|Comedy,4:57 AM,03/02/2019,TwAds
226,3.3,Silent Action,Action|Crime|Drama,5:40 PM,04/12/2019,GAds
701,2.12,Just Pals,Western,1:51 AM,06/07/2019,Amazon
308,2.71,Crossfire Trail (Louis L'Amour's 'Crossfire Trail'),Action|Western,3:03 AM,08/26/2019,FbAds-fb
155,14.72,Mr. Brooks,Crime|Drama|Thriller,12:16 AM,04/03/2019,FbAds-in
732,1.39,Scenes from the Class Struggle in Beverly Hills,Comedy,9:52 AM,03/04/2019,FbAds-fb
153,14.66,"Killing Room, The",Drama|Mystery|Thriller,7:11 PM,02/25/2019,FbAds-in
227,5.19,Becoming Jane,Drama|Romance,2:22 AM,09/23/2019,GAds
421,7.28,Secrets of Eden,Drama|Mystery|Thriller,2:55 PM,02/22/2019,TwAds
492,12.11,The Prophecy: Forsaken,Fantasy|Horror|Thriller,10:28 AM,05/25/2019,TwAds
779,7.33,Goldfinger,Action|Adventure|Thriller,9:21 AM,05/10/2019,FbAds-fb
692,8.37,Sergeant Rutledge,Crime|Western,11:43 PM,01/05/2019,FbAds-in
460,4.62,Nancy Goes to Rio,Comedy|Musical,7:21 PM,04/19/2019,TwAds
29,9.77,Yeh Jawaani Hai Deewani,Comedy|Drama|Musical|Romance,6:15 AM,01/01/2019,FbAds-fb
496,12.85,Fail-Safe,Drama|Thriller|War,4:12 PM,12/27/2019,GAds
17,4.67,Eulogy,Comedy|Crime|Drama,5:37 AM,07/16/2019,GAds
412,13.38,"Great Escape, The",Action|Adventure|Drama|War,12:08 AM,04/26/2019,FbAds-fb
126,9.2,Hard Target,Action|Adventure|Crime|Thriller,3:13 PM,03/30/2019,TwAds
955,12.06,11.6,Crime|Drama,1:46 AM,08/07/2019,GAds
843,1.94,Paulie,Adventure|Children|Comedy,12:15 AM,12/16/2019,GAds
619,7.66,Starry starry night (Xing kong),Children|Drama|Fantasy,3:42 PM,10/14/2019,FbAds-fb
631,3.86,Into the Deep,Documentary|IMAX,12:12 PM,03/14/2019,FbAds-in
702,7.5,"Three Stooges in Orbit, The",Comedy|Sci-Fi,5:20 PM,11/15/2019,GAds
160,14.18,Night of the Living Dorks,Comedy|Horror,12:36 AM,11/22/2019,FbAds-fb
421,7.56,Scourge,Horror|Mystery|Sci-Fi,12:02 AM,12/12/2019,GAds
